SiteID,StoreNumber,City,State,Address,MatchMethod,CoordinateDistanceMiles,CandidateCount
867190,2634,Gorham,NH,561 Main St,Unique store number,0,1
304970,353,Graham,TX,2121 State Highway 16 S,Unique store number,0,1
304971,371,GRANBURY,TX,735 E Us Highway 377,Unique store number,0,1
304223,1326,Grand Island,NE,2250 N Diers Ave,Unique store number,0,1
787686,4410,GRANITE FALLS,NC,4780 Hickory Blvd,Unique store number,0,1
304105,2455,Great Falls,MT,701 Smelter Ave NE,Unique store number,0,1
2449383,7199,Great Falls,MT,5320 10th Ave S,Unique store number,0,1
406463,5051,Greeley,CO,920 47th Ave,Unique store number,0,1
302954,980,Greeley,CO,3103 S 23rd Ave,Unique store number,0,1
856509,1411,Green Valley,AZ,18680 S Nogales Hwy,Unique store number,0,1
2303800,5758,Lake Worth,FL,3911 S Jog Rd,Unique store number,0,1
705112,3658,Greensboro,NC,2107 Pyramid Village Blvd,Unique store number,0,1
2219713,7222,Greenville,NC,2830 Gateway Dr,Unique store number,0,1
303283,647,Grinnell,IA,415 Industrial Ave,Unique store number,0,1
304627,2008,Grove City,PA,1566 W Main Street Ext,Unique store number,0,1
595471,5466,Grove City,OH,1693 Stringtown Rd,Unique store number,0,1
304974,449,Port Arthur,TX,4999 N Twin City Hwy,Unique store number,0,1
1097965,3303,Grundy,VA,1179 Riverview St,Unique store number,0,1
506071,2072,GUAYAMA,,,Unmatched,,0
303044,2533,Gulf Breeze,FL,3767 Gulf Breeze Pkwy,Unique store number,0,1
1339462,5623,Gulf Breeze,FL,334 Gulf Breeze Pkwy,Unique store number,0,1
2333656,6165,Gulfport,MS,1733 E Pass Rd,Unique store number,0,1
2278614,6323,Gulfport,MS,11333 Highway 49,Unique store number,0,1
304059,969,Gulfport,MS,9350 Highway 49,Unique store number,0,1
304975,516,Mabank,TX,1200 W Main St,Unique store number,0,1
302630,301,Gadsden,AL,340 E Meighan Blvd,Unique store number,0,1
304722,638,Gaffney,SC,165 Walton Dr,Unique store number,0,1
303043,1081,Gainesville,FL,2900 SW 42nd St,Unique store number,0,1
304959,185,Gainesville,TX,1800 Lawrence St,Unique store number,0,1
2219675,2699,Gainesville,GA,1435 Thompson Bridge Rd,Unique store number,0,1
2219676,2731,Gainesville,GA,2892 Browns Bridge Rd,Unique store number,0,1
787902,3877,Gainesville,FL,1800 NE 12th Ave,Unique store number,0,1
303199,510,Gainesville,GA,400 Shallowford Rd NW,Unique store number,0,1
1816116,538,Gainesville,FL,5700 NW 23rd St,Unique store number,0,1
305178,1023,Galax,VA,1140 E Stuart Dr,Unique store number,0,1
615586,5044,Galena,IL,10000 Bartel Blvd,Unique store number,0,1
1406354,775,Galesburg,IL,659 Knox Square Dr,Unique store number,0,1
304434,2605,Gallipolis,OH,2145 Eastern Ave,Unique store number,0,1
304300,906,Gallup,NM,1650 W Maloney Ave,Unique store number,0,1
2143561,5231,Galt,CA,10470 Twin Cities Rd,Unique store number,0,1
304960,504,Galveston,TX,6702 Seawall Blvd,Unique store number,0,1
322246,2861,Garden City,ID,7319 W State St,Unique store number,0,1
2311825,4625,Garden City,KS,2424 N Taylor Ave,Unique store number,0,1
303537,652,Garden City,KS,3101 E Kansas Ave,Unique store number,0,1
302631,1201,Gardendale,AL,890 Odum Rd,Unique store number,0,1
303738,2155,Gardner,MA,677 Timpany Blvd,Unique store number,0,1
832032,5307,Gardner,KS,1725 E Santa Fe St,Unique store number,0,1
893490,5752,Garfield,NJ,174 Passaic St,Unique store number,0,1
897364,1055,GARLAND,TX,5302 N Garland Ave,Unique store number,0,1
832983,1800,GARLAND,TX,1801 Marketplace Dr,Unique store number,0,1
2083149,2433,GARLAND,TX,101 W Buckingham Rd,Unique store number,0,1
201697,2975,Garland,TX,3959 Broadway Blvd,Unique store number,0,1
249068,3224,Garland,TX,555 W Interstate 30,Unique store number,0,1
2103613,4046,GARLAND,TX,1855 S Garland Ave,Unique store number,0,1
864832,5743,Garner,NC,5141 NC Highway 42 W,Unique store number,0,1
304965,476,Gatesville,TX,2805 S State Highway 36,Unique store number,0,1
303847,1542,Gaylord,MI,950 Edelweiss Village Pkwy,Unique store number,0,1
302632,1063,Geneva,AL,1608 W Magnolia Ave,Unique store number,0,1
304353,1731,Geneva,NY,990 State Route 5 And 20,Unique store number,0,1
897366,1303,Georgetown,TX,620 S Interstate 35,Unique store number,0,1
303000,2791,Georgetown,DE,4 College Park Ln,Unique store number,0,1
303597,571,Georgetown,KY,112 Osbourne Way,Unique store number,0,1
304723,625,Georgetown,SC,1310 N Fraser St,Unique store number,0,1
2103643,7259,Georgetown,,,Unmatched,,0
305290,1515,Germantown,WI,W190N9855 Appleton Ave,Unique store number,0,1
303785,2357,Germantown,MD,20910 Frederick Rd,Unique store number,0,1
304623,1537,Gettysburg,PA,1270 York Rd,Unique store number,0,1
304624,2603,Gibsonia,PA,300 Walmart Dr,Unique store number,0,1
684693,5300,Gibsonton,FL,9205 Gibsonton Dr,Unique store number,0,1
304967,473,Giddings,TX,2374 E Austin St,Unique store number,0,1
764446,3861,Gilbert,AZ,5290 S Power Rd,Unique store number,0,1
615590,5186,Gilbert,AZ,2501 S Market St,Unique store number,0,1
304243,2639,Gilford,NH,1458 Lake Shore Rd,Unique store number,0,1
305360,1485,Gillette,WY,2300 S Douglas Hwy,Unique store number,0,1
304968,146,Gilmer,TX,1102 Us Highway 271 N,Unique store number,0,1
832967,2002,Gilroy,CA,7150 Camino Arroyo,Unique store number,0,1
303964,1120,Kansas City,MO,7207 N M1 Hwy,Unique store number,0,1
303598,711,Glasgow,KY,2345 Happy Valley Rd,Unique store number,0,1
303369,1848,Glen Ellyn,IL,3S100 Il Route 53,Unique store number,0,1
302776,1532,Glendale,AZ,5845 W Bell Rd,Unique store number,0,1
361844,3241,Glendale,AZ,18551 N 83rd Ave,Unique store number,0,1
646633,3314,Glendale,AZ,7450 W Glendale Ave,Unique store number,0,1
378063,3465,Glendale,AZ,5010 N 95th Ave,Unique store number,0,1
907517,3844,Glendale,AZ,5137 W Olive Ave,Unique store number,0,1
773972,3845,Glendale,AZ,6645 W Peoria Ave,Unique store number,0,1
528095,5124,Glendale,AZ,5605 W Northern Ave,Unique store number,0,1
302842,1941,Glendora,CA,1950 Auto Centre Dr,Unique store number,0,1
513544,3583,GLENMONT,NY,311 Route 9w,Unique store number,0,1
2150764,4615,Glenpool,OK,12200 S Waco Ave,Unique store number,0,1
304355,2874,Schenectady,NY,200 Dutch Meadows Ln,Unique store number,0,1
302951,1095,Glenwood Springs,CO,3010 Blake Ave,Unique store number,0,1
1947897,1806,Gloversville,NY,329 S Kingsboro Ave Ext,Unique store number,0,1
1815430,3103,Goddard,KS,18631 W Kellogg Dr,Unique store number,0,1
304143,1236,Goldsboro,NC,1002 N Spence Ave,Unique store number,0,1
770082,4564,Goldsboro,NC,2908 Us Highway 70 W,Unique store number,0,1
2219722,7334,Goldsboro,NC,4350 Us Highway 70 E,Unique store number,0,1
2278615,7340,Goldsboro,NC,1144 Tommys Rd,Unique store number,0,1
670776,5369,Goodyear,AZ,1100 N Estrella Pkwy,Unique store number,0,1
304724,2928,Goose Creek,SC,605 Saint James Ave,Unique store number,0,1
2219687,3646,Goose Creek,SC,1635 Red Bank Rd,Unique store number,0,1
2278612,3899,Goose Creek,SC,215 Saint James Ave,Unique store number,0,1
866913,4682,Gordonsville,VA,164 Camp Creek Pkwy,Unique store number,0,1
303468,1378,Goshen,IN,2304 Lincolnway E,Unique store number,0,1
303467,1566,Goshen,IN,4024 Elkhart Rd Ste 2,Unique store number,0,1
305334,2833,Grafton,WV,1 Walmart Ln,Unique store number,0,1
680093,3726,Grand Blanc,MI,6170 S Saginaw Rd,Unique store number,0,1
304213,1545,Grand Forks,ND,2551 32nd Ave S,Unique store number,0,1
2104749,5806,Grand Forks,ND,5755 Gateway Dr,Unique store number,0,1
764457,5386,Grand Haven,MI,14700 Us Highway 31,Unique store number,0,1
654797,3395,Grand Island,NE,3501 S Locust St,Unique store number,0,1
302953,1280,Grand Junction,CO,2881 North Ave,Unique store number,0,1
2311815,4491,Grand Junction,CO,541 Warrior Way,Unique store number,0,1
499067,5099,Grand Junction,CO,2545 Rimrock Ave,Unique store number,0,1
2449614,4503,Grand Prairie,TX,2650 S State Highway 161,Unique store number,0,1
304972,896,Grand Prairie,TX,2225 W Interstate 20,Unique store number,0,1
303906,1609,Grand Rapids,MN,100 SE 29th St,Unique store number,0,1
303849,2567,Grandville,MI,4542 Kenowa Ave SW,Unique store number,0,1
303370,1761,Granite City,IL,379 W Pontoon Rd,Unique store number,0,1
304301,2652,Grants,NM,1000 Robert Rd,Unique store number,0,1
304576,1834,Grants Pass,OR,135 NE Terry Ln,Unique store number,0,1
2149281,7238,Grantsboro,NC,11233B Nc 55 Hwy E,Unique store number,0,1
305104,266,Grapevine,TX,1601 W State Highway 114,Unique store number,0,1
1331110,770,Great Bend,KS,3503 10th St,Unique store number,0,1
304357,1610,Rochester,NY,100 Elmridge Center Dr,Unique store number,0,1
1490969,5282,Rochester,NY,3800 Dewey Ave,Unique store number,0,1
305276,1453,Green Bay,WI,2440 W Mason St,Unique store number,0,1
305277,1908,Green Bay,WI,2292 Main St,Unique store number,0,1
2192632,7317,Greenbrier,AR,75 S Broadview St,Unique store number,0,1
303469,902,Greencastle,IN,1750 Indianapolis Rd,Unique store number,0,1
1815436,5668,Greendale,WI,5301 S 76th St,Unique store number,0,1
304799,680,Greeneville,TN,3755 E Andrew Johnson Hwy,Unique store number,0,1
303470,1141,Greenfield,IN,1965 N State St,Unique store number,0,1
305278,1394,Milwaukee,WI,10600 W Layton Ave,Unique store number,0,1
304144,1498,GREENSBORO,NC,3738 Battleground Ave,Unique store number,0,1
304145,1842,GREENSBORO,NC,4424 W Wendover Ave,Unique store number,0,1
1995890,5014,Greensboro,NC,3605 W Gate City Blvd,Unique store number,0,1
670774,5320,Greensboro,NC,121 W Elmsley St,Unique store number,0,1
2333645,5393,Greensboro,NC,1050 Alamance Church Rd,Unique store number,0,1
2258788,6176,Greensboro,NC,5611 W Friendly Ave,Unique store number,0,1
